Year,Quarter,Time Period,Oil Import
2015,1,1,243732
2015,2,2,265186
2015,3,3,261111
2015,4,4,286442
2016,1,5,299195
2016,2,6,313314
2016,3,7,330340
2016,4,8,318227
2017,1,9,325439
2017,2,10,333030
2017,3,11,289826
2017,4,12,280231
2018,1,13,258189
2018,2,14,281580
2018,3,15,270545
2018,4,16,243690
2019,1,17,180576
2019,2,18,150415
2019,3,19,143499
2019,4,20,123722
2020,1,21,82945
2020,2,22,116194
2020,3,23,70270
2020,4,24,54721
2021,1,25,63632
2021,2,26,91886
2021,3,27,99117
2021,4,28,94519
